DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2024-11,121.81,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2024-12,122.96,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-01,122.99,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-02,123.51,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-03,123.78,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-04,123.8,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-05,123.84,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-06,123.89,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-07,124.23,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-08,124.82,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-09,125.31,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Albania,2025-10,125.34,d,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2024-11,130.27,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2024-12,129.38,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-01,131.16,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-02,130.31,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-03,133.2,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-04,133.8,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-05,133.84,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-06,134.87,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-07,135.16,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-08,135.24,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-09,135.02,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Austria,2025-10,134.85,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2024-11,183.48,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2024-12,183.25,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-01,186.62,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-02,186.04,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-03,184.84,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-04,184.42,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-05,185.71,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-06,185.86,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-07,186.96,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-08,187.32,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-09,186.71,,
ESTAT:TEICP020(1.0),19/11/25 11:00:00,Monthly,"Alcoholic beverages, tobacco and narcotics","Index, 2015=100",Belgium,2025-10,188.08,,
