DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2024-11,111.23,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2024-12,111.52,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-01,111.12,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-02,110.43,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-03,110.47,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-04,110.15,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-05,110.16,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-06,109.66,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-07,109.48,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-08,110.17,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-09,111.22,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Albania,2025-10,112.45,d,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2024-11,117.55,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2024-12,116.84,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-01,106.26,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-02,107.38,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-03,115.31,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-04,115.37,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-05,114.11,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-06,110.6,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-07,102.13,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-08,103.58,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-09,115.08,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Austria,2025-10,119.25,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2024-11,125.03,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2024-12,121.96,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2025-01,86.54,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2025-02,118.17,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2025-03,115.34,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2025-04,115.81,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2025-05,116.31,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2025-06,116.57,,
ESTAT:TEICP030(1.0),19/11/25 11:00:00,Monthly,Clothing and footwear,"Index, 2015=100",Belgium,2025-07,90.5,,
