DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2024-11,107.09,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2024-12,107.47,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-01,107.47,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-02,107.47,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-03,107.74,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-04,107.83,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-05,108.00,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-06,107.99,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-07,107.99,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-08,108.12,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-09,108.24,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Albania,2025-10,108.26,d,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2024-11,79.56,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2024-12,78.76,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-01,78.51,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-02,78.50,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-03,78.22,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-04,78.01,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-05,77.65,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-06,76.69,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-07,75.82,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-08,75.83,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-09,75.74,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Austria,2025-10,75.20,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2024-11,111.97,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2024-12,112.11,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-01,109.61,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-02,110.61,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-03,110.26,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-04,109.83,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-05,112.07,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-06,112.13,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-07,112.92,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-08,112.79,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-09,112.60,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Belgium,2025-10,112.74,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Bulgaria,2024-11,90.66,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Bulgaria,2024-12,90.93,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Bulgaria,2025-01,93.09,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Bulgaria,2025-02,95.26,,
ESTAT:TEICP080(1.0),19/11/25 11:00:00,Monthly,Communications,"Index, 2015=100",Bulgaria,2025-03,96.51,,
