DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2024-11,111.12,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2024-12,111.25,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-01,111.29,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-02,111.25,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-03,111.30,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-04,111.35,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-05,111.35,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-06,111.35,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-07,111.35,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-08,111.34,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-09,113.60,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Albania,2025-10,113.65,d,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2024-11,132.16,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2024-12,132.13,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-01,132.61,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-02,133.51,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-03,133.51,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-04,133.87,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-05,133.91,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-06,133.92,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-07,134.71,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-08,134.77,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-09,138.60,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Austria,2025-10,138.39,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2024-11,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2024-12,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-01,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-02,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-03,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-04,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-05,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-06,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-07,141.53,,
ESTAT:TEICP100(1.0),19/11/25 11:00:00,Monthly,Education,"Index, 2015=100",Belgium,2025-08,141.53,,
