DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2024-11,111.37,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2024-12,111.60,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-01,111.55,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-02,110.14,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-03,110.35,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-04,110.85,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-05,111.16,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-06,110.58,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-07,110.09,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-08,110.24,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-09,111.00,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Albania,2025-10,110.50,d,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2024-11,145.52,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2024-12,146.17,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-01,168.68,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-02,169.09,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-03,166.99,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-04,164.63,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-05,162.71,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-06,163.75,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-07,164.84,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-08,164.37,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-09,163.30,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Austria,2025-10,162.85,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2024-11,163.01,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2024-12,168.08,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-01,175.96,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-02,178.35,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-03,175.50,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-04,167.58,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-05,162.11,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-06,163.47,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-07,165.38,,
ESTAT:TEICP250(1.0),19/11/25 11:00:00,Monthly,Energy,"Index, 2015=100",Belgium,2025-08,163.28,,
