DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2024-11,160.29,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2024-12,161.42,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-01,163.18,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-02,164.56,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-03,167.03,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-04,167.07,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-05,164.79,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-06,164.48,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-07,162.68,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-08,162.76,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-09,164.31,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Albania,2025-10,164.29,d,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2024-11,139.17,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2024-12,138.67,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-01,139.54,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-02,140.71,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-03,141.00,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-04,141.42,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-05,141.98,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-06,143.06,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-07,143.37,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-08,144.26,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-09,142.78,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Austria,2025-10,143.75,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2024-11,137.02,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2024-12,136.95,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-01,140.18,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-02,140.37,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-03,141.57,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-04,139.14,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-05,139.24,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-06,140.26,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-07,140.84,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-08,140.52,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-09,140.14,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Belgium,2025-10,140.33,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2024-11,173.29,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2024-12,172.14,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-01,176.48,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-02,177.75,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-03,179.03,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-04,179.74,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-05,180.72,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-06,181.18,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-07,181.74,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-08,182.28,,
ESTAT:TEICP010(1.0),19/11/25 11:00:00,Monthly,Food and non-alcoholic beverages,"Index, 2015=100",Bulgaria,2025-09,181.97,,
