DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2024-11,106.57,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2024-12,106.80,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-01,106.87,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-02,107.21,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-03,107.32,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-04,107.63,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-05,107.78,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-06,107.87,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-07,107.68,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-08,107.81,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-09,107.96,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Albania,2025-10,108.00,d,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2024-11,127.53,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2024-12,127.68,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-01,130.69,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-02,132.11,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-03,132.08,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-04,132.27,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-05,132.66,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-06,132.65,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-07,133.02,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-08,133.06,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-09,133.63,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Austria,2025-10,133.78,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Belgium,2024-11,115.78,,
ESTAT:TEICP060(1.0),19/11/25 11:00:00,Monthly,Health,"Index, 2015=100",Belgium,2024-12,115.91,,
