DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2024-11,118.84,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2024-12,118.91,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-01,118.94,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-02,119.18,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-03,119.29,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-04,119.35,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-05,119.44,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-06,119.53,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-07,120.07,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-08,120.57,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-09,120.97,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Albania,2025-10,121.10,d,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2024-11,159.05,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2024-12,162.61,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-01,161.60,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-02,163.94,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-03,163.21,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-04,163.84,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-05,164.18,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-06,165.10,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-07,166.42,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-08,166.91,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-09,166.54,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Austria,2025-10,167.03,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2024-11,139.72,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2024-12,142.70,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-01,141.46,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-02,142.65,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-03,142.58,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-04,144.88,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-05,144.67,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-06,145.29,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-07,149.13,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-08,149.56,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-09,146.32,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Belgium,2025-10,147.46,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2024-11,171.36,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2024-12,172.56,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-01,176.75,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-02,178.05,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-03,179.15,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-04,177.30,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-05,179.66,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-06,184.54,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-07,195.13,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-08,194.25,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-09,184.84,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Bulgaria,2025-10,182.84,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2024-11,109.46,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2024-12,109.98,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-01,112.11,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-02,111.77,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-03,111.63,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-04,111.41,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-05,111.19,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-06,112.14,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-07,112.84,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-08,112.76,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-09,112.12,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Switzerland,2025-10,111.51,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2024-11,125.30,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2024-12,124.31,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2025-01,123.84,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2025-02,124.22,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2025-03,127.56,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2025-04,127.88,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2025-05,130.51,,
ESTAT:TEICP110(1.0),19/11/25 11:00:00,Monthly,Restaurants and hotels,"Index, 2015=100",Cyprus,2025-06,133.53,,
