DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2024-11,115.79,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2024-12,116.23,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-01,116.77,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-02,117.05,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-03,116.91,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-04,116.80,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-05,117.60,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-06,117.64,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-07,117.41,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-08,117.93,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-09,118.58,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Albania,2025-10,118.88,d,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2024-11,127.70,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2024-12,127.46,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-01,127.60,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-02,127.42,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-03,127.59,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-04,127.77,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-05,127.68,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-06,128.26,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-07,127.79,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-08,127.86,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-09,126.50,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Austria,2025-10,127.52,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Belgium,2024-11,116.69,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Belgium,2024-12,117.86,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Belgium,2025-01,119.69,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Belgium,2025-02,121.85,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Belgium,2025-03,120.86,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Belgium,2025-04,121.04,,
ESTAT:TEICP050(1.0),19/11/25 11:00:00,Monthly,"Furnishings, household equipment and routine household maintenance","Index, 2015=100",Belgium,2025-05,120.77,,
