DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2024-11,114.99,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2024-12,115.27,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-01,115.27,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-02,114.18,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-03,114.68,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-04,115.35,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-05,115.74,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-06,115.52,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-07,115.13,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-08,115.72,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-09,116.88,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,2025-10,116.52,d,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2024-11,145.34,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2024-12,145.52,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-01,156.63,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-02,157.04,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-03,156.89,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-04,156.51,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-05,156.32,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-06,156.63,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-07,157.12,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-08,157.54,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-09,157.52,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,2025-10,157.77,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2024-11,145.27,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2024-12,148.05,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2025-01,152.39,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2025-02,154.01,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2025-03,153.72,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2025-04,150.33,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2025-05,148.25,,
ESTAT:TEICP040(1.0),19/11/25 11:00:00,Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,2025-06,148.97,,
