DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2024-11,126.04,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2024-12,127.72,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-01,128.27,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-02,128.53,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-03,132.59,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-04,133.32,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-05,134.78,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-06,135.41,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-07,137.66,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-08,137.79,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-09,138.95,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Albania,2025-10,137.97,d,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2024-11,129.19,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2024-12,132.57,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-01,131.04,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-02,132.23,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-03,131.97,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-04,131.09,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-05,130.23,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-06,132.27,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-07,134.39,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-08,133.97,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-09,131.20,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Austria,2025-10,131.06,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2024-11,119.81,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2024-12,122.31,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-01,121.71,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-02,125.36,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-03,122.95,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-04,120.13,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-05,121.04,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-06,122.15,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-07,122.58,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-08,123.25,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-09,121.78,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Belgium,2025-10,122.54,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2024-11,120.23,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2024-12,122.36,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-01,123.44,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-02,124.01,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-03,123.23,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-04,122.24,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-05,121.98,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-06,122.58,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-07,127.44,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-08,127.37,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-09,123.47,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,2025-10,125.90,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2024-11,104.05,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2024-12,104.71,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-01,101.95,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-02,103.97,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-03,103.14,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-04,107.21,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-05,102.15,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-06,105.32,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-07,108.43,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-08,106.09,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-09,104.90,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Switzerland,2025-10,106.64,,
ESTAT:TEICP090(1.0),19/11/25 11:00:00,Monthly,Recreation and culture,"Index, 2015=100",Cyprus,2024-11,122.95,,
