DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2024-11,113.56,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2024-12,113.85,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-01,113.91,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-02,113.95,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-03,114.20,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-04,113.77,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-05,113.71,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-06,113.80,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-07,113.65,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-08,113.41,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-09,113.40,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Albania,2025-10,113.19,d,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2024-11,129.71,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2024-12,131.06,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-01,133.02,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-02,132.02,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-03,130.94,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-04,133.45,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-05,132.64,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-06,132.65,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-07,132.96,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-08,134.15,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-09,133.27,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Austria,2025-10,133.63,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2024-11,133.84,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2024-12,134.79,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-01,134.80,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-02,135.82,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-03,134.10,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-04,134.33,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-05,133.95,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-06,134.62,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-07,136.26,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-08,136.60,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-09,136.04,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Belgium,2025-10,136.14,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2024-11,118.23,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2024-12,120.54,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2025-01,122.29,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2025-02,121.56,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2025-03,121.00,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2025-04,119.14,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2025-05,117.31,,
ESTAT:TEICP070(1.0),19/11/25 11:00:00,Monthly,Transport,"Index, 2015=100",Bulgaria,2025-06,117.92,,
